state,district,population
Selangor,Gombak,980.3
Selangor,Gombak,65.3
Selangor,Gombak,74.8
Selangor,Gombak,69.6
Selangor,Gombak,68.4
Selangor,Gombak,81.3
Selangor,Gombak,78.7
Selangor,Gombak,85.4
Selangor,Gombak,98.5
Selangor,Gombak,85.6
Selangor,Gombak,63.1
Selangor,Gombak,53.8
Selangor,Gombak,44.2
Selangor,Gombak,36.4
Selangor,Gombak,28.9
Selangor,Gombak,22.1
Selangor,Gombak,14.0
Selangor,Gombak,5.6
Selangor,Gombak,4.5
Selangor,Gombak,511.8
Selangor,Gombak,33.4
Selangor,Gombak,38.3
Selangor,Gombak,36.4
Selangor,Gombak,35.4
Selangor,Gombak,44.7
Selangor,Gombak,44.4
Selangor,Gombak,44.9
Selangor,Gombak,49.9
Selangor,Gombak,44.1
Selangor,Gombak,33.5
Selangor,Gombak,28.0
Selangor,Gombak,22.8
Selangor,Gombak,18.9
Selangor,Gombak,14.6
Selangor,Gombak,11.0
Selangor,Gombak,6.3
Selangor,Gombak,2.7
Selangor,Gombak,2.6
Selangor,Gombak,468.5
Selangor,Gombak,31.8
Selangor,Gombak,36.5
Selangor,Gombak,33.2
Selangor,Gombak,33.0
Selangor,Gombak,36.5
Selangor,Gombak,34.4
Selangor,Gombak,40.5
Selangor,Gombak,48.7
Selangor,Gombak,41.5
Selangor,Gombak,29.6
Selangor,Gombak,25.8
Selangor,Gombak,21.4
Selangor,Gombak,17.5
Selangor,Gombak,14.3
Selangor,Gombak,11.2
Selangor,Gombak,7.7
Selangor,Gombak,2.9
Selangor,Gombak,1.9
Selangor,Klang,1174.9
Selangor,Klang,85.5
Selangor,Klang,81.7
Selangor,Klang,73.9
Selangor,Klang,75.6
Selangor,Klang,101.5
Selangor,Klang,103.0
Selangor,Klang,105.7
Selangor,Klang,116.7
Selangor,Klang,101.4
Selangor,Klang,74.4
Selangor,Klang,63.7
Selangor,Klang,52.5
Selangor,Klang,43.6
Selangor,Klang,36.5
Selangor,Klang,28.0
Selangor,Klang,17.6
Selangor,Klang,7.3
Selangor,Klang,6.2
Selangor,Klang,651.3
Selangor,Klang,44.6
Selangor,Klang,42.3
Selangor,Klang,38.8
Selangor,Klang,40.0
Selangor,Klang,62.9
Selangor,Klang,66.3
Selangor,Klang,62.2
Selangor,Klang,63.9
Selangor,Klang,55.2
Selangor,Klang,41.2
Selangor,Klang,34.2
Selangor,Klang,27.8
Selangor,Klang,23.0
Selangor,Klang,18.8
Selangor,Klang,14.3
Selangor,Klang,8.2
Selangor,Klang,3.7
Selangor,Klang,3.8
Selangor,Klang,523.5
Selangor,Klang,40.9
Selangor,Klang,39.4
Selangor,Klang,35.0
Selangor,Klang,35.6
Selangor,Klang,38.7
Selangor,Klang,36.7
Selangor,Klang,43.5
Selangor,Klang,52.8
Selangor,Klang,46.2
Selangor,Klang,33.3
Selangor,Klang,29.6
Selangor,Klang,24.7
Selangor,Klang,20.5
Selangor,Klang,17.6
Selangor,Klang,13.7
Selangor,Klang,9.4
Selangor,Klang,3.6
Selangor,Klang,2.4
Selangor,Kuala Langat,326.3
Selangor,Kuala Langat,28.6
Selangor,Kuala Langat,25.2
Selangor,Kuala Langat,23.7
Selangor,Kuala Langat,23.1
Selangor,Kuala Langat,26.1
Selangor,Kuala Langat,24.9
Selangor,Kuala Langat,27.3
Selangor,Kuala Langat,32.1
Selangor,Kuala Langat,28.0
Selangor,Kuala Langat,20.7
Selangor,Kuala Langat,17.4
Selangor,Kuala Langat,14.2
Selangor,Kuala Langat,11.6
Selangor,Kuala Langat,9.0
Selangor,Kuala Langat,7.2
Selangor,Kuala Langat,4.4
Selangor,Kuala Langat,1.7
Selangor,Kuala Langat,1.3
Selangor,Kuala Langat,171.3
Selangor,Kuala Langat,14.9
Selangor,Kuala Langat,12.9
Selangor,Kuala Langat,12.4
Selangor,Kuala Langat,11.9
Selangor,Kuala Langat,14.5
Selangor,Kuala Langat,14.0
Selangor,Kuala Langat,14.4
Selangor,Kuala Langat,16.4
Selangor,Kuala Langat,14.5
Selangor,Kuala Langat,11.1
Selangor,Kuala Langat,9.1
Selangor,Kuala Langat,7.4
Selangor,Kuala Langat,6.0
Selangor,Kuala Langat,4.6
Selangor,Kuala Langat,3.7
Selangor,Kuala Langat,2.0
Selangor,Kuala Langat,0.8
Selangor,Kuala Langat,0.8
Selangor,Kuala Langat,155.0
Selangor,Kuala Langat,13.7
Selangor,Kuala Langat,12.3
Selangor,Kuala Langat,11.3
Selangor,Kuala Langat,11.3
Selangor,Kuala Langat,11.6
Selangor,Kuala Langat,10.9
Selangor,Kuala Langat,12.9
Selangor,Kuala Langat,15.7
Selangor,Kuala Langat,13.4
Selangor,Kuala Langat,9.6
Selangor,Kuala Langat,8.3
Selangor,Kuala Langat,6.8
Selangor,Kuala Langat,5.5
Selangor,Kuala Langat,4.3
Selangor,Kuala Langat,3.5
Selangor,Kuala Langat,2.4
Selangor,Kuala Langat,0.9
Selangor,Kuala Langat,0.5
Selangor,Kuala Selangor,298.4
Selangor,Kuala Selangor,24.9
Selangor,Kuala Selangor,22.3
Selangor,Kuala Selangor,22.1
Selangor,Kuala Selangor,21.4
Selangor,Kuala Selangor,24.4
Selangor,Kuala Selangor,23.4
Selangor,Kuala Selangor,25.8
Selangor,Kuala Selangor,29.9
Selangor,Kuala Selangor,25.5
Selangor,Kuala Selangor,18.8
Selangor,Kuala Selangor,15.8
Selangor,Kuala Selangor,12.8
Selangor,Kuala Selangor,10.4
Selangor,Kuala Selangor,8.1
Selangor,Kuala Selangor,6.4
Selangor,Kuala Selangor,3.8
Selangor,Kuala Selangor,1.5
Selangor,Kuala Selangor,1.1
Selangor,Kuala Selangor,153.4
Selangor,Kuala Selangor,13.0
Selangor,Kuala Selangor,10.5
Selangor,Kuala Selangor,11.4
Selangor,Kuala Selangor,11.0
Selangor,Kuala Selangor,13.4
Selangor,Kuala Selangor,13.3
Selangor,Kuala Selangor,13.2
Selangor,Kuala Selangor,14.8
Selangor,Kuala Selangor,12.9
Selangor,Kuala Selangor,9.9
Selangor,Kuala Selangor,8.1
Selangor,Kuala Selangor,6.5
Selangor,Kuala Selangor,5.2
Selangor,Kuala Selangor,4.0
Selangor,Kuala Selangor,3.1
Selangor,Kuala Selangor,1.7
Selangor,Kuala Selangor,0.7
Selangor,Kuala Selangor,0.7
Selangor,Kuala Selangor,145.0
Selangor,Kuala Selangor,11.9
Selangor,Kuala Selangor,11.8
Selangor,Kuala Selangor,10.7
Selangor,Kuala Selangor,10.4
Selangor,Kuala Selangor,11.0
Selangor,Kuala Selangor,10.1
Selangor,Kuala Selangor,12.5
Selangor,Kuala Selangor,15.1
Selangor,Kuala Selangor,12.6
Selangor,Kuala Selangor,9.0
Selangor,Kuala Selangor,7.7
Selangor,Kuala Selangor,6.3
Selangor,Kuala Selangor,5.1
Selangor,Kuala Selangor,4.1
Selangor,Kuala Selangor,3.3
Selangor,Kuala Selangor,2.1
Selangor,Kuala Selangor,0.8
Selangor,Kuala Selangor,0.5
Selangor,Petaling,2360.0
Selangor,Petaling,140.1
Selangor,Petaling,166.3
Selangor,Petaling,157.3
Selangor,Petaling,157.9
Selangor,Petaling,195.7
Selangor,Petaling,194.0
Selangor,Petaling,204.8
Selangor,Petaling,234.1
Selangor,Petaling,209.0
Selangor,Petaling,156.0
Selangor,Petaling,135.7
Selangor,Petaling,112.8
Selangor,Petaling,93.8
Selangor,Petaling,77.1
Selangor,Petaling,59.2
Selangor,Petaling,38.3
Selangor,Petaling,16.0
Selangor,Petaling,11.9
Selangor,Petaling,1254.1
Selangor,Petaling,72.1
Selangor,Petaling,84.3
Selangor,Petaling,81.5
Selangor,Petaling,81.7
Selangor,Petaling,113.1
Selangor,Petaling,115.4
Selangor,Petaling,112.8
Selangor,Petaling,121.5
Selangor,Petaling,108.9
Selangor,Petaling,83.6
Selangor,Petaling,71.3
Selangor,Petaling,58.6
Selangor,Petaling,49.2
Selangor,Petaling,39.2
Selangor,Petaling,29.2
Selangor,Petaling,17.2
Selangor,Petaling,7.6
Selangor,Petaling,6.9
Selangor,Petaling,1105.9
Selangor,Petaling,68.0
Selangor,Petaling,81.9
Selangor,Petaling,75.8
Selangor,Petaling,76.2
Selangor,Petaling,82.6
Selangor,Petaling,78.6
Selangor,Petaling,92.0
Selangor,Petaling,112.6
Selangor,Petaling,100.1
Selangor,Petaling,72.4
Selangor,Petaling,64.4
Selangor,Petaling,54.2
Selangor,Petaling,44.6
Selangor,Petaling,37.9
Selangor,Petaling,30.0
Selangor,Petaling,21.1
Selangor,Petaling,8.4
Selangor,Petaling,5.0
Selangor,Sabak Bernam,110.3
Selangor,Sabak Bernam,9.7
Selangor,Sabak Bernam,8.9
Selangor,Sabak Bernam,8.3
Selangor,Sabak Bernam,8.0
Selangor,Sabak Bernam,8.8
Selangor,Sabak Bernam,8.3
Selangor,Sabak Bernam,9.2
Selangor,Sabak Bernam,10.9
Selangor,Sabak Bernam,9.5
Selangor,Sabak Bernam,7.1
Selangor,Sabak Bernam,5.9
Selangor,Sabak Bernam,4.6
Selangor,Sabak Bernam,3.8
Selangor,Sabak Bernam,2.9
Selangor,Sabak Bernam,2.4
Selangor,Sabak Bernam,1.4
Selangor,Sabak Bernam,0.4
Selangor,Sabak Bernam,0.2
Selangor,Sabak Bernam,57.6
Selangor,Sabak Bernam,5.2
Selangor,Sabak Bernam,4.6
Selangor,Sabak Bernam,4.3
Selangor,Sabak Bernam,4.1
Selangor,Sabak Bernam,4.9
Selangor,Sabak Bernam,4.7
Selangor,Sabak Bernam,4.8
Selangor,Sabak Bernam,5.5
Selangor,Sabak Bernam,4.9
Selangor,Sabak Bernam,3.8
Selangor,Sabak Bernam,3.1
Selangor,Sabak Bernam,2.4
Selangor,Sabak Bernam,2.0
Selangor,Sabak Bernam,1.4
Selangor,Sabak Bernam,1.1
Selangor,Sabak Bernam,0.5
Selangor,Sabak Bernam,0.2
Selangor,Sabak Bernam,0.1
Selangor,Sabak Bernam,52.7
Selangor,Sabak Bernam,4.5
Selangor,Sabak Bernam,4.3
Selangor,Sabak Bernam,4.0
Selangor,Sabak Bernam,3.9
Selangor,Sabak Bernam,3.9
Selangor,Sabak Bernam,3.6
Selangor,Sabak Bernam,4.4
Selangor,Sabak Bernam,5.4
Selangor,Sabak Bernam,4.6
Selangor,Sabak Bernam,3.3
Selangor,Sabak Bernam,2.8
Selangor,Sabak Bernam,2.3
Selangor,Sabak Bernam,1.8
Selangor,Sabak Bernam,1.5
Selangor,Sabak Bernam,1.4
Selangor,Sabak Bernam,0.8
Selangor,Sabak Bernam,0.2
Selangor,Sabak Bernam,0.1
Selangor,Sepang,346.9
Selangor,Sepang,29.5
Selangor,Sepang,26.4
Selangor,Sepang,23.4
Selangor,Sepang,23.2
Selangor,Sepang,29.0
Selangor,Sepang,28.7
Selangor,Sepang,30.3
Selangor,Sepang,34.2
Selangor,Sepang,29.5
Selangor,Sepang,21.7
Selangor,Sepang,18.4
Selangor,Sepang,15.1
Selangor,Sepang,12.4
Selangor,Sepang,9.9
Selangor,Sepang,7.2
Selangor,Sepang,4.5
Selangor,Sepang,1.9
Selangor,Sepang,1.6
Selangor,Sepang,186.3
Selangor,Sepang,15.1
Selangor,Sepang,13.3
Selangor,Sepang,12.1
Selangor,Sepang,12.0
Selangor,Sepang,16.9
Selangor,Sepang,17.3
Selangor,Sepang,16.9
Selangor,Sepang,18.1
Selangor,Sepang,15.7
Selangor,Sepang,11.9
Selangor,Sepang,9.9
Selangor,Sepang,8.0
Selangor,Sepang,6.6
Selangor,Sepang,5.2
Selangor,Sepang,3.5
Selangor,Sepang,2.0
Selangor,Sepang,0.9
Selangor,Sepang,0.9
Selangor,Sepang,160.6
Selangor,Sepang,14.4
Selangor,Sepang,13.0
Selangor,Sepang,11.3
Selangor,Sepang,11.2
Selangor,Sepang,12.1
Selangor,Sepang,11.4
Selangor,Sepang,13.5
Selangor,Sepang,16.1
Selangor,Sepang,13.8
Selangor,Sepang,9.8
Selangor,Sepang,8.6
Selangor,Sepang,7.0
Selangor,Sepang,5.8
Selangor,Sepang,4.7
Selangor,Sepang,3.6
Selangor,Sepang,2.5
Selangor,Sepang,1.0
Selangor,Sepang,0.7
Selangor,Ulu Langat,1508.1
Selangor,Ulu Langat,105.5
Selangor,Ulu Langat,109.9
Selangor,Ulu Langat,98.8
Selangor,Ulu Langat,99.0
Selangor,Ulu Langat,128.8
Selangor,Ulu Langat,127.2
Selangor,Ulu Langat,132.9
Selangor,Ulu Langat,149.9
Selangor,Ulu Langat,130.5
Selangor,Ulu Langat,96.3
Selangor,Ulu Langat,82.1
Selangor,Ulu Langat,67.2
Selangor,Ulu Langat,55.3
Selangor,Ulu Langat,46.4
Selangor,Ulu Langat,37.0
Selangor,Ulu Langat,23.3
Selangor,Ulu Langat,9.8
Selangor,Ulu Langat,8.2
Selangor,Ulu Langat,809.5
Selangor,Ulu Langat,54.3
Selangor,Ulu Langat,55.8
Selangor,Ulu Langat,51.1
Selangor,Ulu Langat,51.3
Selangor,Ulu Langat,74.9
Selangor,Ulu Langat,76.5
Selangor,Ulu Langat,73.8
Selangor,Ulu Langat,78.5
Selangor,Ulu Langat,68.8
Selangor,Ulu Langat,52.2
Selangor,Ulu Langat,43.5
Selangor,Ulu Langat,35.2
Selangor,Ulu Langat,29.1
Selangor,Ulu Langat,24.3
Selangor,Ulu Langat,19.3
Selangor,Ulu Langat,11.0
Selangor,Ulu Langat,5.0
Selangor,Ulu Langat,5.0
Selangor,Ulu Langat,698.5
Selangor,Ulu Langat,51.2
Selangor,Ulu Langat,54.0
Selangor,Ulu Langat,47.7
Selangor,Ulu Langat,47.6
Selangor,Ulu Langat,54.0
Selangor,Ulu Langat,50.7
Selangor,Ulu Langat,59.1
Selangor,Ulu Langat,71.4
Selangor,Ulu Langat,61.8
Selangor,Ulu Langat,44.2
Selangor,Ulu Langat,38.6
Selangor,Ulu Langat,32.0
Selangor,Ulu Langat,26.1
Selangor,Ulu Langat,22.1
Selangor,Ulu Langat,17.7
Selangor,Ulu Langat,12.3
Selangor,Ulu Langat,4.8
Selangor,Ulu Langat,3.2
Selangor,Ulu Selangor,258.1
Selangor,Ulu Selangor,19.6
Selangor,Ulu Selangor,20.6
Selangor,Ulu Selangor,19.0
Selangor,Ulu Selangor,18.5
Selangor,Ulu Selangor,21.0
Selangor,Ulu Selangor,20.3
Selangor,Ulu Selangor,22.3
Selangor,Ulu Selangor,25.9
Selangor,Ulu Selangor,22.0
Selangor,Ulu Selangor,16.3
Selangor,Ulu Selangor,13.7
Selangor,Ulu Selangor,11.0
Selangor,Ulu Selangor,8.9
Selangor,Ulu Selangor,7.1
Selangor,Ulu Selangor,5.8
Selangor,Ulu Selangor,3.6
Selangor,Ulu Selangor,1.4
Selangor,Ulu Selangor,1.1
Selangor,Ulu Selangor,138.6
Selangor,Ulu Selangor,10.2
Selangor,Ulu Selangor,10.6
Selangor,Ulu Selangor,10.0
Selangor,Ulu Selangor,9.6
Selangor,Ulu Selangor,12.2
Selangor,Ulu Selangor,12.0
Selangor,Ulu Selangor,12.1
Selangor,Ulu Selangor,13.6
Selangor,Ulu Selangor,11.9
Selangor,Ulu Selangor,8.9
Selangor,Ulu Selangor,7.3
Selangor,Ulu Selangor,5.8
Selangor,Ulu Selangor,4.7
Selangor,Ulu Selangor,3.6
Selangor,Ulu Selangor,3.1
Selangor,Ulu Selangor,1.7
Selangor,Ulu Selangor,0.7
Selangor,Ulu Selangor,0.6
Selangor,Ulu Selangor,119.6
Selangor,Ulu Selangor,9.3
Selangor,Ulu Selangor,10.1
Selangor,Ulu Selangor,9.0
Selangor,Ulu Selangor,8.8
Selangor,Ulu Selangor,8.8
Selangor,Ulu Selangor,8.3
Selangor,Ulu Selangor,10.2
Selangor,Ulu Selangor,12.3
Selangor,Ulu Selangor,10.2
Selangor,Ulu Selangor,7.4
Selangor,Ulu Selangor,6.4
Selangor,Ulu Selangor,5.2
Selangor,Ulu Selangor,4.3
Selangor,Ulu Selangor,3.5
Selangor,Ulu Selangor,2.7
Selangor,Ulu Selangor,1.9
Selangor,Ulu Selangor,0.7
Selangor,Ulu Selangor,0.5
Selangor,Gombak,581.3
Selangor,Gombak,41.2
Selangor,Gombak,46.0
Selangor,Gombak,42.4
Selangor,Gombak,41.0
Selangor,Gombak,47.4
Selangor,Gombak,42.7
Selangor,Gombak,50.2
Selangor,Gombak,60.8
Selangor,Gombak,51.4
Selangor,Gombak,37.9
Selangor,Gombak,31.3
Selangor,Gombak,25.0
Selangor,Gombak,20.2
Selangor,Gombak,15.5
Selangor,Gombak,14.3
Selangor,Gombak,8.5
Selangor,Gombak,3.1
Selangor,Gombak,2.6
Selangor,Gombak,296.0
Selangor,Gombak,21.1
Selangor,Gombak,23.6
Selangor,Gombak,22.1
Selangor,Gombak,21.1
Selangor,Gombak,24.8
Selangor,Gombak,22.1
Selangor,Gombak,24.3
Selangor,Gombak,29.4
Selangor,Gombak,26.0
Selangor,Gombak,20.0
Selangor,Gombak,16.3
Selangor,Gombak,12.9
Selangor,Gombak,10.4
Selangor,Gombak,7.9
Selangor,Gombak,7.2
Selangor,Gombak,3.8
Selangor,Gombak,1.5
Selangor,Gombak,1.3
Selangor,Gombak,285.4
Selangor,Gombak,20.0
Selangor,Gombak,22.4
Selangor,Gombak,20.3
Selangor,Gombak,19.8
Selangor,Gombak,22.5
Selangor,Gombak,20.6
Selangor,Gombak,25.9
Selangor,Gombak,31.4
Selangor,Gombak,25.4
Selangor,Gombak,17.9
Selangor,Gombak,15.0
Selangor,Gombak,12.1
Selangor,Gombak,9.7
Selangor,Gombak,7.6
Selangor,Gombak,7.0
Selangor,Gombak,4.7
Selangor,Gombak,1.7
Selangor,Gombak,1.3
Selangor,Klang,554.7
Selangor,Klang,45.6
Selangor,Klang,40.2
Selangor,Klang,37.0
Selangor,Klang,36.6
Selangor,Klang,45.4
Selangor,Klang,40.9
Selangor,Klang,48.0
Selangor,Klang,58.3
Selangor,Klang,49.2
Selangor,Klang,36.3
Selangor,Klang,29.8
Selangor,Klang,23.6
Selangor,Klang,19.1
Selangor,Klang,15.0
Selangor,Klang,14.8
Selangor,Klang,8.8
Selangor,Klang,3.3
Selangor,Klang,2.8
Selangor,Klang,284.5
Selangor,Klang,23.5
Selangor,Klang,20.5
Selangor,Klang,19.1
Selangor,Klang,18.8
Selangor,Klang,24.0
Selangor,Klang,21.4
Selangor,Klang,23.5
Selangor,Klang,28.5
Selangor,Klang,25.2
Selangor,Klang,19.3
Selangor,Klang,15.7
Selangor,Klang,12.3
Selangor,Klang,10.0
Selangor,Klang,7.7
Selangor,Klang,7.8
Selangor,Klang,4.1
Selangor,Klang,1.6
Selangor,Klang,1.5
Selangor,Klang,270.2
Selangor,Klang,22.2
Selangor,Klang,19.8
Selangor,Klang,17.9
Selangor,Klang,17.7
Selangor,Klang,21.3
Selangor,Klang,19.5
Selangor,Klang,24.5
Selangor,Klang,29.8
Selangor,Klang,24.1
Selangor,Klang,16.9
Selangor,Klang,14.1
Selangor,Klang,11.3
Selangor,Klang,9.2
Selangor,Klang,7.3
Selangor,Klang,7.0
Selangor,Klang,4.7
Selangor,Klang,1.7
Selangor,Klang,1.3
Selangor,Kuala Langat,209.6
Selangor,Kuala Langat,19.9
Selangor,Kuala Langat,16.7
Selangor,Kuala Langat,15.4
Selangor,Kuala Langat,14.8
Selangor,Kuala Langat,16.6
Selangor,Kuala Langat,15.0
Selangor,Kuala Langat,17.6
Selangor,Kuala Langat,21.3
Selangor,Kuala Langat,18.0
Selangor,Kuala Langat,13.2
Selangor,Kuala Langat,10.9
Selangor,Kuala Langat,8.6
Selangor,Kuala Langat,6.9
Selangor,Kuala Langat,5.3
Selangor,Kuala Langat,4.9
Selangor,Kuala Langat,2.9
Selangor,Kuala Langat,1.0
Selangor,Kuala Langat,0.7
Selangor,Kuala Langat,106.8
Selangor,Kuala Langat,10.3
Selangor,Kuala Langat,8.4
Selangor,Kuala Langat,7.9
Selangor,Kuala Langat,7.5
Selangor,Kuala Langat,8.7
Selangor,Kuala Langat,7.8
Selangor,Kuala Langat,8.5
Selangor,Kuala Langat,10.3
Selangor,Kuala Langat,9.1
Selangor,Kuala Langat,7.0
Selangor,Kuala Langat,5.7
Selangor,Kuala Langat,4.5
Selangor,Kuala Langat,3.6
Selangor,Kuala Langat,2.7
Selangor,Kuala Langat,2.6
Selangor,Kuala Langat,1.3
Selangor,Kuala Langat,0.5
Selangor,Kuala Langat,0.4
Selangor,Kuala Langat,102.8
Selangor,Kuala Langat,9.7
Selangor,Kuala Langat,8.3
Selangor,Kuala Langat,7.5
Selangor,Kuala Langat,7.2
Selangor,Kuala Langat,7.9
Selangor,Kuala Langat,7.2
Selangor,Kuala Langat,9.0
Selangor,Kuala Langat,11.0
Selangor,Kuala Langat,8.9
Selangor,Kuala Langat,6.2
Selangor,Kuala Langat,5.2
Selangor,Kuala Langat,4.2
Selangor,Kuala Langat,3.3
Selangor,Kuala Langat,2.6
Selangor,Kuala Langat,2.3
Selangor,Kuala Langat,1.5
Selangor,Kuala Langat,0.5
Selangor,Kuala Langat,0.3
Selangor,Kuala Selangor,231.4
Selangor,Kuala Selangor,19.5
Selangor,Kuala Selangor,17.5
Selangor,Kuala Selangor,17.6
Selangor,Kuala Selangor,16.8
Selangor,Kuala Selangor,18.5
Selangor,Kuala Selangor,16.9
Selangor,Kuala Selangor,19.7
Selangor,Kuala Selangor,23.8
Selangor,Kuala Selangor,20.1
Selangor,Kuala Selangor,14.9
Selangor,Kuala Selangor,12.3
Selangor,Kuala Selangor,9.8
Selangor,Kuala Selangor,7.8
Selangor,Kuala Selangor,5.9
Selangor,Kuala Selangor,5.3
Selangor,Kuala Selangor,3.1
Selangor,Kuala Selangor,1.2
Selangor,Kuala Selangor,0.8
Selangor,Kuala Selangor,114.6
Selangor,Kuala Selangor,10.2
Selangor,Kuala Selangor,8.0
Selangor,Kuala Selangor,9.1
Selangor,Kuala Selangor,8.5
Selangor,Kuala Selangor,9.4
Selangor,Kuala Selangor,8.6
Selangor,Kuala Selangor,9.2
